layer,mean_angle_deg,max_angle_deg
bert.encoder.layer.0.attention.self.query,7.180601596832275,88.70610046386719
bert.encoder.layer.0.attention.self.key,11.175009727478027,88.04399108886719
bert.encoder.layer.0.attention.self.value,24.604942321777344,89.73992919921875
bert.encoder.layer.1.attention.self.query,3.820260763168335,12.66716194152832
bert.encoder.layer.1.attention.self.key,6.676321983337402,85.23497772216797
bert.encoder.layer.1.attention.self.value,10.755348205566406,89.94770812988281
bert.encoder.layer.2.attention.self.query,5.973355293273926,83.69325256347656
bert.encoder.layer.2.attention.self.key,11.460210800170898,89.34632110595703
bert.encoder.layer.2.attention.self.value,10.831398963928223,85.53697204589844
bert.encoder.layer.3.attention.self.query,6.627931118011475,87.98113250732422
bert.encoder.layer.3.attention.self.key,14.373397827148438,89.01393127441406
bert.encoder.layer.3.attention.self.value,20.154455184936523,89.61779022216797
bert.encoder.layer.4.attention.self.query,11.928850173950195,88.01451110839844
bert.encoder.layer.4.attention.self.key,14.357070922851562,89.73233032226562
bert.encoder.layer.4.attention.self.value,22.586917877197266,89.87248992919922
bert.encoder.layer.5.attention.self.query,15.265589714050293,89.3873062133789
bert.encoder.layer.5.attention.self.key,14.849891662597656,89.99269104003906
bert.encoder.layer.5.attention.self.value,18.003021240234375,89.74862670898438
bert.encoder.layer.6.attention.self.query,9.484840393066406,88.95098114013672
bert.encoder.layer.6.attention.self.key,19.845380783081055,89.70133209228516
bert.encoder.layer.6.attention.self.value,19.61655616760254,89.4858169555664
bert.encoder.layer.7.attention.self.query,11.774726867675781,89.59073638916016
bert.encoder.layer.7.attention.self.key,11.338708877563477,89.33402252197266
bert.encoder.layer.7.attention.self.value,32.42383575439453,89.63794708251953
bert.encoder.layer.8.attention.self.query,20.127838134765625,89.87530517578125
bert.encoder.layer.8.attention.self.key,13.855674743652344,88.36380767822266
bert.encoder.layer.8.attention.self.value,28.74332618713379,89.70783233642578
bert.encoder.layer.9.attention.self.query,17.128402709960938,89.5728759765625
bert.encoder.layer.9.attention.self.key,9.163787841796875,89.56397247314453
bert.encoder.layer.9.attention.self.value,43.302696228027344,89.88854217529297
bert.encoder.layer.10.attention.self.query,24.21025848388672,89.85807800292969
bert.encoder.layer.10.attention.self.key,30.91808319091797,89.87255859375
bert.encoder.layer.10.attention.self.value,41.33984375,89.91885375976562
bert.encoder.layer.11.attention.self.query,13.504190444946289,89.82917022705078
bert.encoder.layer.11.attention.self.key,19.61849594116211,89.94705200195312
bert.encoder.layer.11.attention.self.value,44.91111373901367,89.96045684814453
